SKU,Nombre,Marca,Precio,Precio Lista,Stock
3430345,Detergente en polvo FAB ultra flash (3000  gr),FAB,24075,38950,10000
3031648,Limpiapisos SANPIC vainilla (2000  ml),SANPIC,13032,20050,10000
549297,Blanqueador LIMPIDO multiusos limón (1800  ml),LIMPIDO,4504,5630,10000
139189,Limpiapisos FABULOSO antibacterial bebé (1000  ml),FABULOSO,8950,9120,10000
1752876,Jabón de barra SUPER RIEL con bicarbonato (840  gr),SUPER RIEL,5332,7110,10000
1456242,Quitamanchas VANISH blanco total (120  gr),VANISH,9340,9340,10000
3545791,Jabón de barra FAB ultra flash floral (300  gr),FAB,2452,3270,10000
36147,Limpiador PATO inodoro tanque pastilla marina (120  gr),PATO,19800,19800,10000
3393725,Jabón de barra REY  + detergente líquido (1200  gr),REY,9950,12000,10000
3678287,Detergente líquido BLANCOX coco ropa delicada (1800  ml),BLANCOX,19400,24250,10000
623012,Limpiador 1A en polvo abrasivo citrus (500  gr),1A,2970,2970,10000
1629868,Detergente líquido DERSA protege el color (1800  ml),DERSA,23200,27500,10000
618290,DETERGENTE LIQUIDO AZULSURTIDOS,DERSA,51700,51700,10000
3527390,Detergente en polvo AK1 aroma floral ropa blanca y color (3000  gr),AK-1,19650,26900,10000
1651225,Detergente en polvo ARIEL revitacolor ropa blanca y de color (4000  gr),ARIEL,40040,57200,10000
3580573,Detergente en polvo DERSA doble poder multiusos  (6000  gr),DERSA,35295,58100,10000
32753,Blanqueador CLOROX gel magia floral (500  ml),CLOROX,5430,5430,10000
3007970,Detergente en polvo EXITO MARCA PROPIA aroma floral (3000  gr),EXITO MARCA PROPIA,13350,13440,10000
1456245,Quitamanchas VANISH líquido (800  ml),VANISH,8420,9100,10000
1757903,Limpiapisos T/L/D TODOS LOS DIAS lavanda (960  ml),T/L/D TODOS LOS DIAS,2200,2210,10000
33545,Blanqueador CLOROX gel magia floral (1000  ml),CLOROX,6955,10700,10000
1763545,Detergente líquido ARIEL doble poder concentrado (2840  ml),ARIEL,63700,68700,10000
3118047,Jabón de barra T/L/D TODOS LOS DIAS líquido coco (1000  ml),T/L/D TODOS LOS DIAS,4450,4450,10000
3709524,Detergente en polvo EKONO multiusos aroma floral (900  gr),EKONO,3470,3480,10000
127214,Blanqueador LIMPIDO multiusos (3800  ml),LIMPIDO,12000,15000,10000
3580568,Detergente en polvo DERSA multiusos bicarbonato + manzana (500  gr),DERSA,5340,5340,10000
3136711,Detergente líquido DERSA doble poder multiusos (4000  ml),DERSA,33605,51700,10000
1456243,Quitamanchas VANISH líquido (800  ml),VANISH,8420,9100,10000
1250480,Limpiador MR MUSCULO inodoro pastilla brisa marina (120  gr),MR MUSCULO,11262,14250,10000
3429303,Detergente líquido FAB ultra flash vibra color (1800  ml),FAB,25500,34000,10000
3001380,Blanqueador BLANCOX desinfectante gel frescura total (1000  ml),BLANCOX,5376,7680,10000
1068362,"Limpiador PATO inodoro tanque pastilla, marina (160  gr)",PATO,23950,23950,10000
3374868,Detergente líquido DERSA doble poder multiusos (1800  ml),DERSA,22100,24350,10000
3007969,Detergente en polvo EXITO MARCA PROPIA aroma floral (1000  gr),EXITO MARCA PROPIA,4540,4550,10000
3181319,Jabón de barra EKONO azul (900  gr),EKONO,6150,6150,10000
14138,Limpiapisos FABULOSO antibacterial lavanda (500  ml),FABULOSO,5000,5000,10000
220037,Blanqueador CLOROX magia floral (3800  ml),CLOROX,11490,19150,10000
823255,Detergente líquido BLANCOX protección color limpieza profunda (1800  ml),BLANCOX,17775,23700,10000
3580564,Detergente en polvo DERSA multiusos bicarbonato + manzana (4000  gr),DERSA,26775,38250,10000
139449,Quitamanchas VANISH líquido (1800  ml),VANISH,23750,23750,10000
1648680,Detergente en polvo ARIEL revitacolor ropa blanca y de color (2000  gr),ARIEL,20965,32900,10000
3032691,Detergente en polvo ARIEL triple poder ropa blanca y de color (3300  gr),ARIEL,38550,38550,10000
3012138,Detergente líquido DERSA aroma a manzana verde (4000  ml),DERSA,52600,52600,10000
3545626,Quitamanchas VANISH líquido (1350  ml),VANISH,14800,14800,10000
924147,Quitamanchas VANISH líquido (1800  ml),VANISH,23750,23750,10000
34665,Blanqueador CLOROX gel original (500  ml),CLOROX,5200,5200,10000
1738958,Quitamanchas CLOROX colores vivos (2730  ml),CLOROX,18600,23250,10000
323620,Blanqueador CLOROX gel pureza cítrica (1000  ml),CLOROX,6006,9240,10000
3339417,Quitamanchas VANISH líquido (2600  ml),VANISH,22950,24100,10000
3185383,Jabón de barra PURO fuerza azul (645  gr),PURO,6142,8190,10000
1126230,Detergente en polvo ARIEL triple poder ropa blanca y de color (450  gr),ARIEL,6020,6020,10000
41932,Quitamanchas sin cloro CLOROX 4 en 1 para ropa color (3800  ml),CLOROX,23880,39800,10000
1456241,Quitamanchas VANISH en polvo (120  gr),VANISH,8900,8900,10000
3580567,Detergente en polvo DERSA multiusos bicarbonato + manzana (1000  gr),DERSA,10150,10150,10000
3433701,Jabón de barra REY líquido original (1600  ml),REY,15100,15100,10000
3538229,Limpiapisos FABULOSO energía naranja (1000  ml),FABULOSO,9120,9500,10000
3377106,Detergente 1A polvo abrasivo limón (700  gr),1A,5100,5100,10000
1037838,Detergente líquido AK1 aroma floral ropa blanca y color (1800  ml),AK-1,14550,19400,10000
7308,Limpia vidrios BINNER y espejos 5 en 1 (500  ml),BINNER,8050,8050,10000
324214,Limpiapisos AJAX naranja limón (1000  ml),AJAX,11550,11550,10000
58099,Detergente líquido COCO VARELA coco (3000  ml),COCO VARELA,44025,58700,10000
3385360,Limpiapisos SANPIC lavanda (2000  ml),SANPIC,12545,19300,10000
3340820,Quitamanchas VANISH líquido (2600  ml),VANISH,22950,24500,10000
3058620,Limpiapisos BLANCOX con el poder del vinagre (1500  ml),BLANCOX,11600,14500,10000
3642172,Detergente líquido ARIEL remueve manchas y cuida el color (1200  ml),ARIEL,19810,28300,10000
3724326,Limpiador FABULOSO ultra desinfectante (2000  ml),FABULOSO,21500,21500,10000
3184034,Jabón de barra COCO VARELA original (180  gr),COCO VARELA,3340,3340,10000
136250,Detergente líquido LAVOMATIC regular (1800  ml),LAVOMATIC,25425,33900,10000
52627,Blanqueador BLANCOX  (2000  ml),BLANCOX,6657,9510,10000
3709525,Detergente en polvo EKONO multiusos aroma limón (900  gr),EKONO,3470,3480,10000
3358635,Jabón de barra TOP TERRA bosque tropical eco (230  gr),TOP TERRA,3510,3510,10000
1753281,Limpiapisos T/L/D TODOS LOS DIAS citronela (2000  ml),T/L/D TODOS LOS DIAS,4490,4500,10000
794830,Quitamanchas sin cloro CLOROX 4 en 1 para ropa color (930  ml),CLOROX,7490,10700,10000
